Individual ID;species;island;culmen_length_mm;culmen_depth_mm;flipper_length_mm;body_mass_g;sex
N1A1;Adelie;Torgersen;39,1;18,7;181;3750;MALE
N1A2;Adelie;Torgersen;39,5;17,4;186;3800;FEMALE
N2A1;Adelie;Torgersen;40,3;18;195;3250;FEMALE
N2A2;Adelie;Torgersen;NA;NA;NA;NA;NA
N3A1;Adelie;Torgersen;36,7;19,3;193;3450;FEMALE
N3A2;Adelie;Torgersen;39,3;20,6;190;3650;MALE
N4A1;Adelie;Torgersen;38,9;17,8;181;3625;FEMALE
N4A2;Adelie;Torgersen;39,2;19,6;195;4675;MALE
N5A1;Adelie;Torgersen;34,1;18,1;193;3475;NA
N5A2;Adelie;Torgersen;42;20,2;190;4250;NA
N6A1;Adelie;Torgersen;37,8;17,1;186;3300;NA
N6A2;Adelie;Torgersen;37,8;17,3;180;3700;NA
N7A1;Adelie;Torgersen;41,1;17,6;182;3200;FEMALE
N7A2;Adelie;Torgersen;38,6;21,2;191;3800;MALE
N8A1;Adelie;Torgersen;34,6;21,1;198;4400;MALE
N8A2;Adelie;Torgersen;36,6;17,8;185;3700;FEMALE
N9A1;Adelie;Torgersen;38,7;19;195;3450;FEMALE
N9A2;Adelie;Torgersen;42,5;20,7;197;4500;MALE
N10A1;Adelie;Torgersen;34,4;18,4;184;3325;FEMALE
N10A2;Adelie;Torgersen;46;21,5;194;4200;MALE
N11A1;Adelie;Biscoe;37,8;18,3;174;3400;FEMALE
N11A2;Adelie;Biscoe;37,7;18,7;180;3600;MALE
N12A1;Adelie;Biscoe;35,9;19,2;189;3800;FEMALE
N12A2;Adelie;Biscoe;38,2;18,1;185;3950;MALE
N13A1;Adelie;Biscoe;38,8;17,2;180;3800;MALE
N13A2;Adelie;Biscoe;35,3;18,9;187;3800;FEMALE
N17A1;Adelie;Biscoe;40,6;18,6;183;3550;MALE
N17A2;Adelie;Biscoe;40,5;17,9;187;3200;FEMALE
N18A1;Adelie;Biscoe;37,9;18,6;172;3150;FEMALE
N18A2;Adelie;Biscoe;40,5;18,9;180;3950;MALE
N21A1;Adelie;Dream;39,5;16,7;178;3250;FEMALE
N21A2;Adelie;Dream;37,2;18,1;178;3900;MALE
N22A1;Adelie;Dream;39,5;17,8;188;3300;FEMALE
N22A2;Adelie;Dream;40,9;18,9;184;3900;MALE
N23A1;Adelie;Dream;36,4;17;195;3325;FEMALE
N23A2;Adelie;Dream;39,2;21,1;196;4150;MALE
N24A1;Adelie;Dream;38,8;20;190;3950;MALE
N24A2;Adelie;Dream;42,2;18,5;180;3550;FEMALE
N25A1;Adelie;Dream;37,6;19,3;181;3300;FEMALE
N25A2;Adelie;Dream;39,8;19,1;184;4650;MALE
N26A1;Adelie;Dream;36,5;18;182;3150;FEMALE
N26A2;Adelie;Dream;40,8;18,4;195;3900;MALE
N27A1;Adelie;Dream;36;18,5;186;3100;FEMALE
N27A2;Adelie;Dream;44,1;19,7;196;4400;MALE
N28A1;Adelie;Dream;37;16,9;185;3000;FEMALE
N28A2;Adelie;Dream;39,6;18,8;190;4600;MALE
N29A1;Adelie;Dream;41,1;19;182;3425;MALE
N29A2;Adelie;Dream;37,5;18,9;179;2975;NA
N30A1;Adelie;Dream;36;17,9;190;3450;FEMALE
N30A2;Adelie;Dream;42,3;21,2;191;4150;MALE
N21A1;Adelie;Biscoe;39,6;17,7;186;3500;FEMALE
N21A2;Adelie;Biscoe;40,1;18,9;188;4300;MALE
N22A1;Adelie;Biscoe;35;17,9;190;3450;FEMALE
N22A2;Adelie;Biscoe;42;19,5;200;4050;MALE
N23A1;Adelie;Biscoe;34,5;18,1;187;2900;FEMALE
N23A2;Adelie;Biscoe;41,4;18,6;191;3700;MALE
N24A1;Adelie;Biscoe;39;17,5;186;3550;FEMALE
N24A2;Adelie;Biscoe;40,6;18,8;193;3800;MALE
N25A1;Adelie;Biscoe;36,5;16,6;181;2850;FEMALE
N25A2;Adelie;Biscoe;37,6;19,1;194;3750;MALE
N27A1;Adelie;Biscoe;35,7;16,9;185;3150;FEMALE
N27A2;Adelie;Biscoe;41,3;21,1;195;4400;MALE
N28A1;Adelie;Biscoe;37,6;17;185;3600;FEMALE
N28A2;Adelie;Biscoe;41,1;18,2;192;4050;MALE
N29A1;Adelie;Biscoe;36,4;17,1;184;2850;FEMALE
N29A2;Adelie;Biscoe;41,6;18;192;3950;MALE
N30A1;Adelie;Biscoe;35,5;16,2;195;3350;FEMALE
N30A2;Adelie;Biscoe;41,1;19,1;188;4100;MALE
N32A1;Adelie;Torgersen;35,9;16,6;190;3050;FEMALE
N32A2;Adelie;Torgersen;41,8;19,4;198;4450;MALE
N34A1;Adelie;Torgersen;33,5;19;190;3600;FEMALE
N34A2;Adelie;Torgersen;39,7;18,4;190;3900;MALE
N35A1;Adelie;Torgersen;39,6;17,2;196;3550;FEMALE
N35A2;Adelie;Torgersen;45,8;18,9;197;4150;MALE
N36A1;Adelie;Torgersen;35,5;17,5;190;3700;FEMALE
N36A2;Adelie;Torgersen;42,8;18,5;195;4250;MALE
N37A1;Adelie;Torgersen;40,9;16,8;191;3700;FEMALE
N37A2;Adelie;Torgersen;37,2;19,4;184;3900;MALE
N38A1;Adelie;Torgersen;36,2;16,1;187;3550;FEMALE
N38A2;Adelie;Torgersen;42,1;19,1;195;4000;MALE
N39A1;Adelie;Torgersen;34,6;17,2;189;3200;FEMALE
N39A2;Adelie;Torgersen;42,9;17,6;196;4700;MALE
